"clades","branching_times","stem_ages","species_numbers"
1,94.4460976342,26.97251953,4
2,89.7876395802,26.97251953,9
3,85.3511084832,27.557052966,7
4,78.5548267012,37.153130622,1
5,75.6593567952,45.737991062,9
6,71.6412217472,26.011547923,7
7,70.3461420952,29.869934672,25
8,67.9615008712,32.265166383,240
9,65.7540967662,43.986191603,16
10,61.7957692582,43.989396594,4
11,61.7347401602,32.219213544,2
12,60.7102827772,37.079899804,9
13,57.9912635022,37.453039978,8
14,57.0271583212,24.636087503,6
15,56.3088672682,28.840208621,1
16,56.1629914512,37.141877149,1
17,55.7173061332,37.141877149,17
18,52.5132047822,35.883547189,5
19,52.2641453692,35.758079665,31
20,52.1409811872,25.787370826,7
21,51.7660821702,39.930589158,3
22,50.8058102282,24.364736278,90
23,50.2193359862,57.027158307,3
24,49.7067723022,33.358242012,6
25,49.6358094262,33.358242012,20
26,49.4140652952,41.290364004,17
27,49.2625630172,57.991263488,1
28,49.1411375922,37.253845606,2
29,48.7578922052,33.124310185,7
30,48.5832814482,30.128630412,9
31,48.5318295322,30.128630412,13
32,48.4545084452,33.295798195,19
33,48.0753309742,29.93345904,6
34,47.7129786232,35.040621774,14
35,47.2147513922,49.706772288,1
36,46.9306716852,25.818257849,5
37,46.8606692942,25.818257849,1
38,46.7287893312,39.195647619,1
39,46.5383978072,40.418171173,1
40,46.5296953932,26.376612333,10
41,45.8220036872,42.526418644,10
42,45.7577862912,35.391776109,15
43,45.7379910762,26.823081742,2
44,45.3938959802,24.682252194,2
45,44.8547747272,24.682252194,2
46,44.6491994002,26.89989188,75
47,44.2807851562,29.012055166,15
48,43.9893966082,24.333932258,2
49,43.9861916172,33.148621258,8
50,43.9123060982,26.597168167,19
51,43.5968541552,26.597168167,40
52,43.3508617592,26.669042752,4
53,43.0988328572,26.669042752,20
54,42.7048471402,25.310920959,6
55,42.6753227912,39.033153587,40
56,42.5264186582,49.262563003,1
57,42.3923669122,34.041984272,2
58,42.2324204472,34.041984272,2
59,41.7480809562,41.235352009,2
60,41.6756402502,75.659356781,7
61,41.6410917442,33.614343321,9
62,41.2903640182,38.787301325,1
63,41.2353520232,27.170810735,4
64,41.0763910032,38.901881093,1
65,40.9650852222,38.901881093,1
66,40.6850801292,40.188967211,4
67,40.4181711872,31.212922946,4
68,40.1889672252,31.212922946,1
69,40.0189687392,36.981012024,2
70,39.9513599092,27.497431771,1
71,39.9305891722,33.238896648,1
72,39.7469349642,33.238896648,3
73,39.3860314302,30.646510464,3
74,39.1956476332,30.646510464,10
75,39.1036319382,31.969093797,6
76,39.0982688622,31.969093797,7
77,39.0939607492,27.586834756,1
78,39.0331536012,44.280785142,6
79,39.0222079692,37.759467203,2
80,38.9018811072,32.167300916,2
81,38.7873013392,32.167300916,5
82,38.5067879202,44.649199386,16
83,38.1473766302,24.153703393,120
84,38.1431683802,24.153703393,86
85,37.8660752612,36.575305299,26
86,37.8296050322,33.062130888,4
87,37.7732670222,28.193501704,6
88,37.7667107702,49.141137578,4
89,37.7594672172,26.468467214,15
90,37.4530399922,28.54161519,11
91,37.4247233022,25.303140931,6
92,37.4122180482,25.303140931,11
93,37.2538456202,30.411656268,1
94,37.1531306362,27.551344759,3
95,37.1418771632,27.551344759,9
96,37.1028866832,42.392366898,32
97,37.0798998182,45.757786277,14
98,37.0168578372,26.814662868,3
99,36.9810120382,30.850544804,9
100,36.9209495112,37.016857823,29
101,36.7246841102,27.935386733,42
102,36.5753053132,27.935386733,34
103,35.9319832172,24.623595283,12
104,35.8835472032,37.412218034,113
105,35.7580796792,37.424723288,1
106,35.7339085752,38.143168366,15
107,35.3917761232,32.966807554,7
108,35.3825678692,25.676243419,2
109,35.1317292572,28.923581732,24
110,35.0565720522,25.545499429,20
111,35.0406217882,27.224466795,31
112,34.6196811522,27.95507736,4
113,34.0419842862,39.103631924,2
114,33.8797412532,32.614619249,2
115,33.8201582752,32.614619249,29
116,33.6143433352,37.773267008,11
117,33.4741040442,25.601322878,14
118,33.3582420262,28.483963323,4
119,33.3231018752,29.338724112,2
120,33.2957982092,34.619681138,9
121,33.2388966622,31.883483914,2
122,33.1987729072,30.33335643,1
123,33.1486212722,48.454508431,1
124,33.1243101992,46.529695379,41
125,33.0838521072,26.193457905,1
126,33.0621309022,39.093960735,1
127,32.9668075682,28.770670323,3
128,32.6967816792,24.467996085,2
129,32.6146192632,35.382567855,11
130,32.2722544492,28.550492788,16
131,32.2651663972,28.550492788,6
132,32.2192135582,24.866382363,55
133,32.1673009302,24.866382363,217
134,31.9690938112,27.557052966,8
135,31.8834839282,25.850201909,7
136,31.8322664042,25.850201909,7
137,31.2129229602,41.675640236,8
138,31.0749039202,29.873376607,21
139,30.9277410342,29.873376607,46
140,30.8505448182,33.47410403,60
141,30.7200484412,26.011547923,2
142,30.6465104782,26.417650914,5
143,30.4773604732,26.417650914,59
144,30.4757449052,29.869934672,145
145,30.4116562822,32.219213544,22
146,30.3933390932,37.079899804,20
147,30.3718007622,24.636087503,89
148,30.3548323782,50.805810214,76
149,30.3333564442,41.64109173,156
150,30.1286304262,32.272254435,307
151,30.0006196432,32.272254435,85
152,29.9334590542,25.787370826,94
153,29.8733766212,24.364736278,44
154,29.8699346862,56.308867254,6
155,29.6898377532,37.253845606,3
156,29.3387241262,29.93345904,25
157,29.2474639732,30.000619629,4
158,29.0687293232,29.068729309,43
159,29.0176498712,24.452078286,6
160,29.0120551802,24.452078286,58
161,28.9235817462,26.376612333,2
162,28.8402086352,26.823081742,105
163,28.7706703372,26.89989188,34
164,28.5504928022,24.458450048,6
165,28.5416152042,24.458450048,23
166,28.4839633372,24.333932258,13
167,28.1935017182,33.879741239,4
168,28.0132534142,36.724684096,25
169,27.9550773742,25.310920959,26
170,27.9353867472,30.475744891,73
171,27.5868347702,29.017649857,23
172,27.5570529802,29.017649857,4
173,27.5513447732,33.614343321,12
174,27.4974317852,27.170810735,78
175,27.2244668092,36.920949497,8
176,27.1708107492,40.188967211,216
177,26.9725195442,36.981012024,50
178,26.8998918942,27.497431771,15
179,26.8230817562,33.820158261,11
180,26.8146628822,27.586834756,6
181,26.6690427662,26.614302925,116
182,26.6143029392,33.062130888,131
183,26.5971681812,25.343499406,21
184,26.5165147182,25.343499406,18
185,26.4684672282,26.468467214,39
186,26.4176509282,30.354832364,6
187,26.3766123472,26.516514704,27
188,26.1934579192,26.516514704,93
189,26.0115479372,28.0132534,61
190,25.8502019232,28.54161519,4
191,25.8182578632,37.766710756,203
192,25.7873708402,26.814662868,30
193,25.6762434332,24.623595283,8
194,25.6013228922,35.931983203,67
195,25.5454994432,24.714156058,38
196,25.3434994202,24.714156058,142
197,25.3109209732,31.074903906,36
198,25.3031409452,31.074903906,4
199,24.8663823772,25.676243419,55
200,24.7141560722,24.538790816,46
201,24.6822522082,24.538790816,19
202,24.6360875172,24.558565054,8
203,24.6235952972,24.558565054,195
204,24.5585650682,27.224466795,26
205,24.5387908302,27.95507736,24
206,24.4679960992,33.083852093,7
207,24.4584500622,25.601322878,25
208,24.4520783002,31.883483914,38
209,24.3647362922,30.33335643,20
210,24.3339322722,26.193457905,27
211,24.1537034072,28.770670323,14
212,NA,24.467996085,7
